23.264	6.6313e-08
23.256	6.6358e-08
23.248	6.6398e-08
23.241	6.6439e-08
23.233	6.648e-08
23.225	6.652e-08
23.217	6.6561e-08
23.21	6.6605e-08
23.202	6.6646e-08
23.194	6.6687e-08
23.186	6.6728e-08
23.179	6.6769e-08
23.171	6.681e-08
23.163	6.685e-08
23.155	6.6891e-08
23.148	6.6936e-08
23.14	6.6977e-08
23.132	6.7018e-08
23.125	6.7059e-08
23.117	6.71e-08
23.109	6.7141e-08
23.101	6.7182e-08
23.094	6.7223e-08
23.086	6.7268e-08
23.078	6.7309e-08
23.071	6.735e-08
23.063	6.7392e-08
23.055	6.7433e-08
23.048	6.7474e-08
23.04	6.7515e-08
23.032	6.7557e-08
23.025	6.7598e-08
23.017	6.764e-08
23.009	6.7685e-08
23.001	6.7726e-08
22.994	6.7768e-08
22.986	6.7809e-08
22.978	6.7847e-08
22.971	6.7888e-08
22.963	6.793e-08
22.955	6.7971e-08
22.948	6.8013e-08
22.94	6.8055e-08
22.933	6.8096e-08
22.925	6.8138e-08
22.917	6.818e-08
22.91	6.8217e-08
22.902	6.8259e-08
22.894	6.8301e-08
22.887	6.8343e-08
22.879	6.8385e-08
22.871	6.8423e-08
22.864	6.8465e-08
22.856	6.8506e-08
22.849	6.8548e-08
22.841	6.8586e-08
22.833	6.8628e-08
22.826	6.867e-08
22.818	6.8709e-08
22.81	6.8751e-08
22.803	6.8793e-08
22.795	6.8835e-08
22.788	6.8873e-08
22.78	6.8915e-08
22.772	6.8957e-08
22.765	6.8996e-08
22.757	6.9038e-08
22.75	6.908e-08
22.742	6.9122e-08
22.734	6.9161e-08
22.727	6.9203e-08
22.719	6.9246e-08
22.712	6.9284e-08
22.704	6.9326e-08
22.697	6.9369e-08
22.689	6.9407e-08
22.681	6.945e-08
22.674	6.9492e-08
22.666	6.9535e-08
22.659	6.9574e-08
22.651	6.9616e-08
22.644	6.9659e-08
22.636	6.9697e-08
22.629	6.974e-08
22.621	6.9783e-08
22.613	6.9822e-08
22.606	6.9864e-08
22.598	6.9907e-08
22.591	6.995e-08
22.583	6.9989e-08
22.576	7.0032e-08
22.568	7.0074e-08
22.561	7.0113e-08
22.553	7.0156e-08
22.546	7.0199e-08
22.538	7.0238e-08
22.531	7.0281e-08
22.523	7.0324e-08
22.516	7.0367e-08
22.508	7.0406e-08
22.501	7.0449e-08
22.493	7.0492e-08
22.486	7.0532e-08
22.478	7.0575e-08
22.471	7.0618e-08
22.463	7.0661e-08
22.456	7.07e-08
22.448	7.0744e-08
22.441	7.0787e-08
22.433	7.0826e-08
22.426	7.087e-08
22.418	7.0913e-08
22.411	7.0952e-08
22.403	7.0996e-08
22.396	7.1039e-08
22.388	7.1083e-08
22.381	7.1122e-08
22.373	7.1166e-08
22.366	7.1209e-08
22.358	7.1249e-08
22.351	7.1292e-08
22.344	7.1336e-08
22.336	7.138e-08
22.329	7.1419e-08
22.321	7.1463e-08
22.314	7.1507e-08
22.306	7.1546e-08
22.299	7.159e-08
22.291	7.1634e-08
22.284	7.1674e-08
22.277	7.1718e-08
22.269	7.1761e-08
22.262	7.1805e-08
22.254	7.1845e-08
22.247	7.1889e-08
22.239	7.1933e-08
22.232	7.1973e-08
22.225	7.2017e-08
22.217	7.2061e-08
22.21	7.2101e-08
22.202	7.2145e-08
22.195	7.2189e-08
22.188	7.2233e-08
22.18	7.2274e-08
22.173	7.2318e-08
22.165	7.2362e-08
22.158	7.2402e-08
22.151	7.2447e-08
22.143	7.2491e-08
22.136	7.2535e-08
22.128	7.2575e-08
22.121	7.262e-08
22.114	7.2664e-08
22.106	7.2705e-08
22.099	7.2749e-08
22.092	7.2794e-08
22.084	7.2834e-08
22.077	7.2878e-08
22.069	7.2923e-08
22.062	7.2968e-08
22.055	7.3008e-08
22.047	7.3053e-08
22.04	7.3097e-08
22.033	7.3138e-08
22.025	7.3183e-08
22.018	7.3228e-08
22.011	7.3268e-08
22.003	7.3313e-08
21.996	7.3358e-08
21.989	7.3403e-08
21.981	7.3443e-08
21.974	7.3488e-08
21.967	7.3533e-08
21.959	7.3574e-08
21.952	7.3619e-08
21.945	7.3664e-08
